Exported on: 02/17/2026 04:22 PM ET

Selected account(s):IRA-Edge 57X-94178

"","Security" 
" " ,"Symbol Description" ,"Quantity" ,"Price" ,"        Day's Change      " ,"Value" ,"         Day's Value Change      " ,"Unrealized Gain/Loss" ,"Last Updated" ," " 
"" ,"IWM ISHARES TR RUSSELL 2000" ,"400" ,"$263.04" ,"+$0.08 +0.03%" ,"$105,216.00" ,"+$32.00" ,"+$15,576.00 +17.38%" ,"04:10 PM ET" ,"" 
"! " ,"TNA DIREXION DAILY SMALL CAP BULL 3X SHARES" ,"1,500" ,"$54.06" ,"+$0.09 +0.17%" ,"$81,090.00" ,"+$1,255.00" ,"-- --" ,"04:10 PM ET" ,"" 
"" ,"RSP INVESCO S&P 500 EQUAL WEIGHT ETF" ,"200" ,"$202.52" ,"-$0.35 -0.17%" ,"$40,504.00" ,"-$70.00" ,"+$10,960.00 +37.10%" ,"04:10 PM ET" ,"" 
"" ,"SOXL DIREXION DAILY SEMICON 3 SH" ,"400" ,"$64.35" ,"-$0.24 -0.37%" ,"$25,740.00" ,"-$96.00" ,"+$6,020.00 +30.53%" ,"04:10 PM ET" ,"" 
"" ,"TQQQ PROSHARES ULTRAPRO QQQ" ,"500" ,"$48.35" ,"-$0.12 -0.25%" ,"$24,175.00" ,"-$60.00" ,"-$775.00 -3.11%" ,"04:15 PM ET" ,"" 
"" ,"NVDA NVIDIA" ,"100" ,"$184.97" ,"+$2.16 +1.18%" ,"$18,497.00" ,"+$216.00" ,"+$3,997.00 +27.57%" ,"04:00 PM ET" ,"" 
"" ,"FAS DIREXION SHS ETF TR DAILY FINL BULL 3X SHS NEW" ,"100" ,"$142.24" ,"+$4.23 +3.07%" ,"$14,224.00" ,"+$423.00" ,"-$2,878.50 -16.83%" ,"04:10 PM ET" ,"" 
"" ,"IIAXX BANK OF AMERICA, NA RASP" ,"10,926.2700" ,"$1.00" ,"$0.00 0.00%" ,"$10,926.27" ,"$0.00" ,"-- --" ,"02/13/2026" ,"" 
"" ,"ARKK ARK INNOVATION ETF" ,"150" ,"$70.30" ,"+$0.05 +0.07%" ,"$10,545.00" ,"+$7.50" ,"-$1,367.50 -11.48%" ,"04:10 PM ET" ,"" 
"! " ,"TECL DIREXION DAILY TECHNOLOG BULL 3X SHARES" ,"100" ,"$103.19" ,"-$0.38 -0.37%" ,"$10,319.00" ,"-$38.00" ,"-- --" ,"04:10 PM ET" ,"" 
"" ,"TLTW ISHARES 20+ YEAR TREASURY BOND BUYWRITE" ,"400" ,"$23.29" ,"+$0.06 +0.26%" ,"$9,316.00" ,"+$24.00" ,"-$244.69 -2.56%" ,"04:10 PM ET" ,"" 
"" ,"SIVR ABRDN SILVER ETF TR" ,"100" ,"$69.70" ,"-$3.52 -4.81%" ,"$6,970.00" ,"-$352.00" ,"-$1,610.00 -18.76%" ,"04:10 PM ET" ,"" 
"" ,"SLV ISHARES SILVER TR" ,"100" ,"$66.37" ,"-$3.35 -4.81%" ,"$6,637.00" ,"-$335.00" ,"-$1,765.00 -21.01%" ,"04:10 PM ET" ,"" 
"! " ,"NUGT DIREXION SHS ETF TR DAILY GOLD MINERS IN" ,"26" ,"$236.13" ,"-$17.41 -6.87%" ,"$6,139.38" ,"-$430.12" ,"-$563.92 -8.41%" ,"04:10 PM ET" ,"" 
"" ,"DFAI DIMENSIONAL INTL CORE EQUITY MA" ,"100" ,"$41.57" ,"-$0.03 -0.07%" ,"$4,157.00" ,"-$3.00" ,"-$7.00 -0.17%" ,"04:10 PM ET" ,"" 
"" ,"EWL ISHARES MSCI SWITZERLAND ETF" ,"50" ,"$64.44" ,"+$0.65 +1.02%" ,"$3,222.00" ,"+$32.50" ,"+$65.00 +2.06%" ,"04:10 PM ET" ,"" 
"" ,"JPM JPMORGAN CHASE & CO" ,"10" ,"$307.13" ,"+$4.58 +1.51%" ,"$3,071.30" ,"+$45.80" ,"-$66.50 -2.12%" ,"04:10 PM ET" ,"" 
"" ,"QTUM DEFIANCE QUANTUM SHS" ,"10" ,"$116.13" ,"-$1.08 -0.92%" ,"$1,161.30" ,"-$10.80" ,"+$83.30 +7.73%" ,"04:15 PM ET" ,"" 
"" ,"EWP ISHARES MSCI SPAIN ETF" ,"20" ,"$56.50" ,"+$0.89 +1.60%" ,"$1,130.00" ,"+$17.80" ,"+$60.30 +5.64%" ,"04:10 PM ET" ,"" 
"" ,"IEMG ISHARES INC CORE MSCI EMERGING MKTS ETF" ,"15" ,"$74.69" ,"-$0.28 -0.37%" ,"$1,120.35" ,"-$4.20" ,"+$10.22 +0.92%" ,"04:10 PM ET" ,"" 
"" ,"DRN DIREXION DAILY REAL EST-" ,"100" ,"$10.76" ,"+$0.32 +3.07%" ,"$1,076.00" ,"+$32.00" ,"-$101.86 -8.65%" ,"04:10 PM ET" ,"" 
"! " ,"MOO VANECK AGRIBUSINESS ETF AGRIBUSINESS ETF" ,"12" ,"$85.34" ,"+$0.05 +0.06%" ,"$1,024.08" ,"+$0.60" ,"+$2.16 +0.21%" ,"04:10 PM ET" ,"" 
